,lnyear,lninc,sagulf,local,prov,reg,cult,forest,volump,lumpsum
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
1,3.5,11.40087596,0,1,1,1,1,0,1,0
